loop_id,label,p2ll
234,0,1.2233666800710867
235,3,1.45163959041847
236,3,1.9380563640931303
237,3,1.4142507113679685
238,3,1.3418358548857239
239,3,1.7804238090367313
240,3,1.9333775358720746
241,3,2.036171209902908
242,1,1.064742865694188
243,5,2.010298488996454
244,3,1.4085019105011705
245,3,1.350054625885426
246,1,1.2508647139564977
247,0,1.1513167106702347
248,0,
249,1,2.1906359623243636
250,0,2.5651434962707813
251,0,1.9693921457820684
252,0,1.9948105074698474
253,0,2.184508248340928
254,4,
255,4,
256,1,1.5405046025277578
257,1,1.7197495659399118
258,1,1.3478799119196012
259,1,1.461069483364067
260,1,2.055448820677171
261,1,1.4926962954289953
262,1,2.0845854795232075
263,1,1.702350446994658
264,1,1.8411157080308886
265,4,2.3007031274014698
266,0,1.618612453461657
267,1,1.489908689733021
268,0,2.832068348990389
269,0,1.1537420393209645
270,1,1.290455033036834
271,1,2.1174089090981716
272,1,1.278176956447289
273,0,2.139105712725744
274,0,2.2380609065849777
275,1,1.0886025934763945
276,4,1.2931940895627618
277,2,1.4731857109196573
278,1,1.6458079110820225
279,1,1.6776983449668705
280,0,3.5165800862002543
281,0,3.5165800862002543
282,0,2.4007113749648092
283,0,2.4007113749648092
284,0,1.4454094582858825
285,0,2.1508272664557966
286,1,1.3405459049787674
287,0,1.8513606641273455
288,0,1.229987491226235
289,1,1.9623374256436399
290,1,1.8698694275589027
291,0,1.5133715484716554
292,0,1.7038573862169155
293,3,2.0951449662843187
294,3,2.1928505963798317
295,3,1.9634359991777302
296,3,1.9634359991777302
297,0,1.6694515626391868
298,0,1.3398799441650289
299,0,1.704905251075025
300,0,1.6248686353424167
301,1,1.8258362869789373
302,0,2.240195691317889
303,1,1.3379720681631062
304,1,2.5360217224581536
305,1,1.3021880196841902
306,1,1.1655686422781253
307,0,1.7812771405019985
308,1,1.6794559707786938
309,1,1.394014189986064
310,1,1.4196706366201033
311,0,1.8262445734041741
312,0,2.168957848130149
313,2,
314,5,
315,0,
316,3,
317,2,
318,0,1.7596829485500993
319,0,1.686226022927296
320,5,2.5434487769117413
321,1,1.3065311957988717
322,1,1.262581926074176
323,1,2.8236549542000344
324,1,2.635609563334271
325,1,1.53861925170782
326,3,1.2383873329233965
